id,station,time,TN,TP,chlorphylla,NH4,COD,DO,BOD,pH
1,THL00,199101,,,,,,,,
2,THL00,199102,,,,,,,,
3,THL00,199103,,,,,,,,
4,THL00,199104,,,,,,,,
5,THL00,199105,,,,,,,,
6,THL00,199106,,,,,,,,
7,THL00,199107,,,,,,,,
8,THL00,199108,,,,,,,,
9,THL00,199109,1.185,0.149,13.65,0.16,5.55,0,,8.46
10,THL00,199110,7.64,0.686,30.57,,,,,7.76
11,THL00,199111,12.16,0.779,20.2,0.64,16.16,0.8,,7.59
12,THL00,199112,2.28,0.145,18.02,,,,,8.03
13,THL00,199201,11.95,0.452,8.74,8,15.64,5,,7.68
14,THL00,199202,5.8,0.054,10.37,2.4,5.11,9.8,,7.85
15,THL00,199203,13.5,0.139,10.1,8.8,7.35,4.1,,7.63
16,THL00,199204,5.14,0.079,2.73,1.92,8.46,5.49,,7.93
17,THL00,199205,8.88,0.174,34.67,6.33,8.36,8.7,,6.6
18,THL00,199206,2.29,0.067,62.24,0.176,7.18,7.74,,8.84
19,THL00,199207,7.51,0.186,36,6.77,6.54,3.78,,7.55
20,THL00,199208,4.54,0.141,29.48,1.27,6.86,1.44,,7.54
21,THL00,199209,2.61,0.122,70.43,0.549,7.94,5.66,,7.99
22,THL00,199210,1.28,0.097,16.93,0.02,5.73,8.83,,8.63
23,THL00,199211,2.17,0.155,21.27,0.442,5.63,9.46,,7.66
24,THL00,199212,14.41,0.722,16.93,13.6,6.98,0.77,,7.63
25,THL00,199301,10.24,0.311,4.26,5.24,7.56,6.16,,7.53
26,THL00,199302,,,,,,,,
27,THL00,199303,14.27,0.384,11.47,10.51,9.48,2.88,,7.58
28,THL00,199304,7.63,0.17,36.6,1.59,6.31,9.81,,8.37
29,THL00,199305,1.56,0.037,19.66,0.504,4.31,8.24,,7.99
30,THL00,199306,7.05,0.201,66.61,3.78,6.9,4.11,,
31,THL00,199307,2.37,0.143,69.8,0.163,6.21,7.44,,8.8
32,THL00,199308,5.95,0.268,12.61,3.516,7.91,1.85,,7.6
33,THL00,199309,6.039,0.232,22.55,4.42,6.83,0.94,,7.8
